구분,순위,종목명,Ticker
KOSPI,1,삼성전자,005930.KS
KOSPI,2,SK하이닉스,000660.KS
KOSPI,3,LG에너지솔루션,373220.KS
KOSPI,4,삼성바이오로직스,207940.KS
KOSPI,5,현대차,005380.KS
KOSPI,6,기아,000270.KS
KOSPI,7,셀트리온,068270.KS
KOSPI,8,KB금융,105560.KS
KOSPI,9,NAVER,035420.KS
KOSPI,10,POSCO홀딩스,005490.KS
KOSPI,11,삼성SDI,006400.KS
KOSPI,12,신한지주,055550.KS
KOSPI,13,LG화학,051910.KS
KOSPI,14,삼성물산,028260.KS
KOSPI,15,현대모비스,012330.KS
KOSPI,16,하나금융지주,086790.KS
KOSPI,17,SK텔레콤,017670.KS
KOSPI,18,카카오,035720.KS
KOSPI,19,LG전자,066570.KS
KOSPI,20,삼성생명,032830.KS
KOSPI,21,SK,034730.KS
KOSPI,22,KT&G,033780.KS
KOSPI,23,한국전력,015760.KS
KOSPI,24,SK이노베이션,096770.KS
KOSPI,25,우리금융지주,316140.KS
KOSPI,26,삼성화재,000810.KS
KOSPI,27,크래프톤,259960.KS
KOSPI,28,LG,003550.KS
KOSPI,29,HMM,011200.KS
KOSPI,30,고려아연,010130.KS
KOSDAQ,1,에코프로비엠,247540.KQ
KOSDAQ,2,알테오젠,196170.KQ
KOSDAQ,3,에코프로,086520.KQ
KOSDAQ,4,HLB,028300.KQ
KOSDAQ,5,셀트리온제약,068760.KQ
KOSDAQ,6,리노공업,058470.KQ
KOSDAQ,7,HPSP,403870.KQ
KOSDAQ,8,레인보우로보틱스,277810.KQ
KOSDAQ,9,클래시스,214150.KQ
KOSDAQ,10,삼천당제약,000250.KQ
